id,title,year,rating,votes,description,genres
10030488,Superman,2025,7.14929,6330,"""Superman"", pierwszy wielkoekranowy pełnometrażowy film fabularny DC Studios, ukaże się w kinach na całym świecie tego lata za pośrednictwem Warner Bros. Pictures. W charakterystyczny dla siebie sposób [person=47483]James Gunn[/person] zaprezentuje tego znanego superbohatera w stworzonym na nowo uniwersum DC. Będzie to mieszanka zapierającej dech w piersiach akcji, humoru i wzruszeń. Superman [person=47483]Gunna[/person] kieruje się współczuciem i głęboko zakorzenioną wiarą w dobro ludzkości.","['Akcja', 'Sci-Fi']"
10061426,Grzesznicy,2025,7.04245,26572,"Chcąc zostawić za sobą burzliwą przeszłość, bracia bliźniacy wracają do rodzinnego miasta, żeby zacząć życie od nowa. Na miejscu przekonują się, że czeka na nich jeszcze gorsze zło.",['Horror']
10039711,F1: Film,2025,7.69292,18793,"Sonny Hayes ([person=205]Brad Pitt[/person]), nazywany ""największym niespełnionym"", był najbardziej obiecującym kierowcą Formuły 1 i zjawiskiem lat 90. do czasu spektakularnego wypadku, który niemal zakończył jego karierę. Po 30 latach jest najemnym kierowcą bez stałego miejsca zamieszkania. Wtedy zwraca się do niego dawny kolega z zespołu, Ruben Cervantes ([person=2929]Javier Bardem[/person]), obecnie właściciel będącego na skraju bankructwa zespołu F1. Ruben przekonuje Sonny'ego do powrotu do Formuły 1. Ma to być ostatnia szansa ocalenia zespołu, a dla niego samego - zdobycia miana najlepszego na świecie. Sonny pojedzie u boku Joshuy Pearce'a ([person=2017638]Damson Idris[/person]), narwanego nowicjusza, narzucającego własne, zawrotne tempo. Kiedy jednak rozlega się ryk silników, Sonny'ego dogania przeszłość. Przekonuje się, że w F1 najbardziej zaciętym rywalem jest kolega z zespołu, a drogą do odkupienia nie można podążać w pojedynkę.","['Dramat', 'Sportowy']"
10054313,Jurassic World: Odrodzenie,2025,5.58446,5997,"Pięć lat po wydarzeniach z ""[film=804059]Jurassic World: Dominion[/film]"" ekosystem naszej planety okazał się niegościnny dla dinozaurów. Te, które pozostały, żyją w odizolowanych miejscach o klimacie przypominającym ten, w którym kiedyś przebywały. Trzy olbrzymie stworzenia mieszkające w tej tropikalnej biosferze posiadają klucz do leku, który być może pomoże ludzkości ratować życie.

Nominowana do Oscara [person=4592]Scarlett Johansson[/person] wciela się w rolę specjalistki od tajnych operacji, Zorę Bennett, która dowodzi zespołem misji, mającej na celu zabezpieczenie materiału genetycznego od największych dinozaurów. Kiedy operacja Zory przez przypadek trafia na rodzinę, której wyprawa żeglarska została przerwana przez dinozaury, wszyscy zostają uwięzieni na wyspie, gdzie stają twarzą w twarz z szokującym odkryciem, które było ukrywane przed światem przez dziesięciolecia.

[person=190191]Mahershala Ali[/person] wciela się w Duncana Kincaida, najbardziej zaufanego członka zespołu Zory; [person=130870]Jonathan Bailey[/person] gra paleontologa dr Henry'ego Loomisa; nominowany do Emmy [person=269402]Rupert Friend[/person] gra Martina Krebsa, a [person=905535]Manuel Garcia-Rulfo[/person] gra Reubena Delgado, ojca z poszkodowanej rodziny.
","['Przygodowy', 'Sci-Fi']"
10074839,Follemente. W tym szaleństwie jest metoda,2025,7.4207,2251,"Kto tak naprawdę mieszka w naszej głowie? Osoba szalona, racjonalna, impulsywna, rozważna? A może w naszym umyśle panuje niezły tłok? [person=283197]Genovese[/person] opisuje historię pierwszej randki Lary i Piera, zaglądając głęboko w myśli swoich bohaterów. Ukazuje lęki, niepewności i pragnienia. Odkrywa tajemnicze mechanizmy, które odpowiadają za nasze działania. Różne osobowości mają swój głos i swoje racje. Dyskutują, kłócą się, wzruszają, a każda z nich chce, aby to właśnie jej decyzja była ostateczna. A co w sytuacji, gdy żadna z nich nie ma racji?",['Komedia rom.']
10068153,Brzydka siostra,2025,6.89644,4442,"Czy kiedyś czułaś się gorsza, odrzucona, niekochana, samotna, wściekła? Czy zrobiłabyś absolutnie wszystko, żeby poczuć się piękna?

""[film=10068153]Brzydka siostra[/film]"" to historia Elwiry , która żyje w cieniu swojej bajecznie pięknej przyrodniej siostry. W świecie, gdzie uroda to waluta, a królewski bal przypomina bezwzględne igrzyska, Elwira postanawia za wszelką cenę poślubić księcia. Największą przeszkodą, aby podbić serce wymarzonego mężczyzny i rozpocząć nowe lepsze życie, jest Kopciuszek.

To nie jest bajka dla grzecznych dziewczynek, to obrzydliwie wciągająca opowieść o obsesji piękna, aż do bólu, która fascynuje, miażdży i zostawia ślad.
","['Horror', 'Komedia']"
10079855,Sojusznicy,2025,5.80114,4199,"Premier Wielkiej Brytanii ([person=111310]Idris Elba[/person]) i prezydent Stanów Zjednoczonych [person=315723](John Cena[/person]) publicznie ze sobą rywalizują, jednak ta rywalizacja zaczyna zagrażać sojuszowi ich krajów. Gdy stają się celem potężnego wroga, muszą polegać na sobie nawzajem, wyruszając na szaloną, międzynarodową wyprawę. W sojuszu z Noel, genialną agentką MI6 ([person=288694]Priyanka Chopra Jonas[/person]), próbują znaleźć sposób na udaremnienie spisku, który zagraża wolnemu światu.","['Komedia', 'Akcja']"
10080273,K-popowe łowczynie demonów,2025,7.56043,4625,"Rumi, Mira i Zoey to gwiazdy K-popu, które - gdy akurat nie koncertują na wypełnionych po brzegi stadionach - potrafią przedzierzgnąć się w nieposkromione łowczynie demonów, zawsze gotowe ochronić fanów przed wszechobecnymi zagrożeniami nie z tego świata. Razem muszą stawić czoła największemu jak dotąd wrogowi - pełnemu nieodpartego uroku konkurencyjnemu boysbandowi, którego członkami tak naprawdę są demony.","['Animacja', 'Fantasy', 'Musical']"
126239,28 lat później,2025,6.59959,8761,"W nowych okolicznościach kwarantanna jest bezwzględnie egzekwowana. Niektórzy znaleźli sposób na przetrwanie wśród zarażonych. Jedna z takich grup ocalałych znajduje się na niewielkiej wyspie, połączonej z lądem dobrze strzeżonym przejściem. Kiedy jeden z członków grupy opuszcza wyspę i wyrusza w podróż do mrocznego serca krainy, odkrywa tajemnice i straszne rzeczy, które się zdarzyły.",['Horror']
10054963,Materialiści,2025,6.17511,9737,"Lucy jest przebojową swatką z Nowego Yorku. Dzięki jej pracy udało się związać wiele szczęśliwych par. Lucy  ma bardzo duże oczekiwania w stosunku do mężczyzn. Pewnego dnia poznaje idealnego mężczyznę, który spełnia wszystkie jej wymagania ([person=1003573]Pedro Pascal[/person], serial ""[serial=849662]The Last of Us[/serial]""[u],[/u] ""[film=837508]Gladiator II[/film]""), ale jednocześnie zaczyna kwestionować, co tak naprawdę stanowi idealne dopasowanie, gdy jej były chłopak ([person=132277]Chris Evans[/person], seria ""[film=371515]Avengers[/film]"", ""[film=219796]Kapitan Ameryka[/film]"") ponownie ją zauroczy.
",['Komedia rom.']
